group id	post id	author id	age	city id	comments	likes	text length
-25557243	2483009	3664185	25	1	611	11276	77
-25557243	2484263	145066703	23	134	18	292	11
-25557243	2483996	None	None	None	209	516	29
-25557243	2483868	145066703	23	134	101	326	25
-25557243	2483796	145066703	23	134	36	430	9
-25557243	2483669	145066703	23	134	46	662	19
-25557243	2483493	22241772	None	123	18	1481	5
-25557243	2482909	248600094	None	1	53	744	6
-25557243	2482796	145066703	23	134	169	6445	723
-25557243	2482666	145066703	23	134	50	1207	17
-25557243	2482509	145066703	23	134	130	2617	35
-25557243	2482339	145066703	23	134	16	545	18
-25557243	2482196	248600094	None	1	115	3308	11
-25557243	2482088	248600094	None	1	68	310	23
-25557243	2481794	145066703	23	134	394	1102	34
-25557243	2481731	248600094	None	1	91	1590	7
-25557243	2481675	248600094	None	1	68	335	96
-25557243	2481561	145066703	23	134	34	750	104
-25557243	2481461	145066703	23	134	82	285	32
-25557243	2481402	145066703	23	134	45	390	34
-25557243	2481200	22241772	None	123	115	1294	24
-25557243	2481016	248600094	None	1	190	395	33
-25557243	2480948	248600094	None	1	42	463	65
-25557243	2480871	22241772	None	123	100	1083	98
-25557243	2480780	145066703	23	134	12	402	10
-25557243	2480686	145066703	23	134	57	329	50
-25557243	2480550	145066703	23	134	121	806	69
-25557243	2480454	145066703	23	134	128	1634	30
-25557243	2480300	22241772	None	123	50	1360	9
-25557243	2480204	22241772	None	123	75	2482	30
-25557243	2480138	145066703	23	134	68	1070	12
-25557243	2480049	145066703	23	134	161	997	13
-25557243	2479935	145066703	23	134	18	582	86
-25557243	2479614	22241772	None	123	243	869	77
-25557243	2479522	81983798	None	767	135	2099	9
-25557243	2479391	221386410	None	2	142	4152	1108
-25557243	2479256	145066703	23	134	86	759	43
-25557243	2479093	145066703	23	134	12	614	16
-25557243	2478997	145066703	23	134	52	1022	5
-25557243	2478863	145066703	23	134	245	2296	33
-25557243	2478755	6425404	None	99	115	1298	249
-25557243	2478691	3664185	25	1	50	749	64
-25557243	2478581	6425404	None	99	81	2404	480
-25557243	2478512	22241772	None	123	36	1102	5
-25557243	2478435	145066703	23	134	93	3999	12
-25557243	2478315	145066703	23	134	22	406	12
-25557243	2478250	145066703	23	134	40	1300	5
-25557243	2478156	145066703	23	134	23	227	40
-25557243	2478043	145066703	23	134	200	603	67
-25557243	2477989	145066703	23	134	39	313	39
-25557243	2477923	6425404	None	99	69	1419	129
-25557243	2477599	22241772	None	123	202	676	111
-25557243	2477529	22241772	None	123	59	969	25
-25557243	2477384	22241772	None	123	110	1088	105
-25557243	2477260	145066703	23	134	130	785	21
-25557243	2477071	145066703	23	134	61	4105	15
-25557243	2476935	145066703	23	134	59	559	27
-25557243	2476760	13214979	23	1	229	3163	12
-25557243	2476662	145066703	23	134	136	396	33
-25557243	2476546	145066703	23	134	105	660	22
-25557243	2476437	145066703	23	134	42	1324	29
-25557243	2476073	145066703	23	134	278	493	32
-25557243	2475969	145066703	23	134	29	335	16
-25557243	2475744	None	None	None	244	1591	13
-25557243	2475669	145066703	23	134	38	713	33
-25557243	2474990	145066703	23	134	431	11387	12
-25557243	2474896	145066703	23	134	71	529	45
-25557243	2474704	145066703	23	134	138	1223	23
-25557243	2474456	22241772	None	123	376	2902	44
-25557243	2474192	145066703	23	134	129	978	87
-25557243	2474038	22241772	None	123	221	1105	85
-25557243	2473510	None	None	None	723	1016	35
-25557243	2473402	22241772	None	123	121	658	122
-25557243	2473328	22241772	None	123	68	400	53
-25557243	2473178	22241772	None	123	210	1719	112
-25557243	2473134	145066703	23	134	42	1219	7
-25557243	2473006	145066703	23	134	105	676	24
-25557243	2472920	145066703	23	134	19	478	11
-25557243	2472827	145066703	23	134	36	651	23
-25557243	2472609	None	None	None	89	736	146
-25557243	2472441	145066703	23	134	91	879	16
-25557243	2472250	145066703	23	134	277	1625	28
-25557243	2471868	145066703	23	134	245	2499	49
-25557243	2471799	145066703	23	134	48	2342	4
-25557243	2471736	6425404	None	99	33	877	154
-25557243	2471300	3664185	25	1	202	4034	63
-25557243	2471165	3664185	25	1	206	3142	16
-25557243	2471022	145066703	23	134	64	979	67
-25557243	2470716	22241772	None	123	495	1504	19
-25557243	2470602	145066703	23	134	96	3292	7
-25557243	2470276	145066703	23	134	462	1247	37
-25557243	2470145	81983798	None	767	76	1032	8
-25557243	2469888	145066703	23	134	149	8173	1864
-25557243	2469745	145066703	23	134	332	7740	32
-25557243	2469691	20335480	19	1933924	42	1081	13
-25557243	2469554	145066703	23	134	14	584	155
-25557243	2469433	145066703	23	134	71	2127	7
-25557243	2469291	None	None	None	44	938	8
-25557243	2469179	6425404	None	99	28	1332	621
-25557243	2483009	3664185	25	1	612	11277	77
-25557243	2484263	145066703	23	134	18	293	11
-25557243	2483996	None	None	None	209	517	29
-25557243	2483868	145066703	23	134	101	326	25
-25557243	2483796	145066703	23	134	36	430	9
-25557243	2483669	145066703	23	134	46	662	19
-25557243	2483493	22241772	None	123	18	1481	5
-25557243	2482909	248600094	None	1	53	744	6
-25557243	2482796	145066703	23	134	169	6445	723
-25557243	2482666	145066703	23	134	50	1207	17
-25557243	2482509	145066703	23	134	130	2617	35
-25557243	2482339	145066703	23	134	16	545	18
-25557243	2482196	248600094	None	1	115	3308	11
-25557243	2482088	248600094	None	1	68	310	23
-25557243	2481794	145066703	23	134	394	1102	34
-25557243	2481731	248600094	None	1	91	1590	7
-25557243	2481675	248600094	None	1	68	335	96
-25557243	2481561	145066703	23	134	34	750	104
-25557243	2481461	145066703	23	134	82	285	32
-25557243	2481402	145066703	23	134	45	390	34
-25557243	2481200	22241772	None	123	115	1294	24
-25557243	2481016	248600094	None	1	190	395	33
-25557243	2480948	248600094	None	1	42	463	65
-25557243	2480871	22241772	None	123	100	1083	98
-25557243	2480780	145066703	23	134	12	402	10
-25557243	2480686	145066703	23	134	57	329	50
-25557243	2480550	145066703	23	134	121	806	69
-25557243	2480454	145066703	23	134	128	1634	30
-25557243	2480300	22241772	None	123	50	1360	9
-25557243	2480204	22241772	None	123	75	2482	30
-25557243	2480138	145066703	23	134	68	1070	12
-25557243	2480049	145066703	23	134	161	997	13
-25557243	2479935	145066703	23	134	18	582	86
-25557243	2479614	22241772	None	123	243	869	77
-25557243	2479522	81983798	None	767	135	2099	9
-25557243	2479391	221386410	None	2	142	4152	1108
-25557243	2479256	145066703	23	134	86	759	43
