topic number	terms
0	экран, 11, изделие, сахар, новый, цена, товар, 10, услуга, 17"
1	акция, индекс, пункт, компания, британский, бумага, вырастать, торги, крупный, цена"
2	рубль, доллар, валюта, курс, нефть, рынок, руб, цена, российский, неделя"
3	компания, доллар, прибыль, миллиард, составлять, акция, выручка, квартал, млрд, чистый"
4	компания, рост, 2016, вырастать, млрд, сектор, страна, составлять, данные, квартал"
5	пункт, акция, индекс, компания, сша, рынок, dow, 500, jones, бумага"
6	компания, фас, mcdonald, россия, санкция, вбд, ресторан, москва, проект, контракт"
7	фонд, инвестор, акция, рынок, млрд, etf, актив, портфель, управление, инвестиция"
8	пенсионный, фонд, инфляция, актив, деньги, енпф, экономика, цена, казахстан, инвестиционный"
9	великобритания, ес, brexit, мэй, британский, выход, европейский, финансовый, заявлять, министр"
10	forex, club, сайт, компания, https, гк, www, торговый, турция, терминал"
11	биткоин, криптовалюта, amazon, биржа, становиться, новый, покупка, компания, стоимость, oculus"
12	автомобиль, компания, наварро, tesla, сша, китай, инвестиция, американский, ford, motor"
13	индекс, рынок, компания, акция, японский, фондовый, регион, китайский, цена, торги"
14	тенге, доллар, торги, kase, составлять, тыс, сша, расчет, сделка, сессия"
15	банк, 2016, млрд, кредит, уровень, капитал, составлять, актив, тенге, конец"
16	рынок, страна, рост, трамп, китай, сша, экономика, торговый, президент, становиться"
17	акция, 01, 2017nasdaq, фб, йоркский, индекс, 2017нью, предыдущий, 03, 02"
18	ставка, фрс, повышение, процентный, экономика, рост, федеральный, сша, инфляция, рынок"
19	франция, германия, выборы, евро, ес, европейский, ле, европа, пена, лебедь"
20	доллар, иена, курс, сша, евро, торги, валюта, трамп, страна, предыдущий"
21	компания, сделка, млрд, млн, сообщать, директор, заявлять, сша, банк, бизнес"
22	рост, ецб, 2017, инфляция, прогноз, цена, европейский, уровень, еврозона, экономика"
23	сеть, розничный, супермаркет, закрывать, тыс, банкнота, продажа, подделка, sears, рождество"
24	boeing, самолет, компания, сша, новый, российский, производство, россия, тысяча, рабочий"
