topic number	terms
0	страховой, страхование, рынок, развитие, тариф, рабочий, бюро, вид, группа, энергия"
1	пенсионный, фонд, взнос, социальный, система, выплата, пенсия, обязательный, налог, уровень"
2	страна, казахстан, бизнес, экономика, экономический, рынок, валюта, кризис, россия, становиться"
3	монета, банкнота, казахстан, тенге, бензин, деньги, купюра, национальный, банкнот, станция"
4	цена, товар, продукт, услуга, изделие, подорожать, масло, продукция, инфляция, дольщик"
5	доллар, тенге, курс, тенге1, валюта, обменный, евро, пункт, банк, рубль"
6	тенге, составлять, кредитный, рынок, кредит, 2015, объем, млрд, доля, портфель"
7	пенсионный, енпф, актив, фонд, накопление, облигация, средство, доходность, инвестиционный, вкладчик"
8	банк, кредит, банковский, казахстан, актив, сектор, тенге, млрд, кредитование, риск"
9	клиент, банк, система, новый, компания, банковский, онлайн, услуга, финансовый, сервис"
10	ставка, банк, рынок, инфляция, рост, базовый, национальный, политика, страна, уровень"
11	банк, заем, заемщик, депозит, национальный, сумма, кредит, компенсация, информация, вкладчик"
12	предприятие, инвестиция, отрасль, производство, миллиард, рост, приток, квартал, промышленность, экономика"
13	курс, нацбанк, тенге, национальный, рынок, банк, экономика, вопрос, политика, правительство"
14	страна, компания, казахстан, место, самый, автомобиль, рынок, мир, рейтинг, россия"
15	бумага, ценный, матч, инвестор, портфель, онлайн, ставка, биржа, казахстанский, китай"
16	процент, казахстан, интернет, платежный, услуга, 2015, составлять, платеж, товар, карточка"
17	тенге, валюта, рынок, валютный, депозит, банк, ставка, аналитик, нацбанк, иностранный"
18	доллар, нефть, тенге, курс, цена, баррель, рубль, рынок, неделя, валюта"
19	банк, казахстан, национальный, евразийский, развитие, требование, страна, капитал, проект, рк"
20	банк, казахстан, национальный, председатель, глава, финансовый, компания, международный, центр, нацбанк"
21	тенге, млрд, составлять, млн, 2016, тыс, 2015, объем, январь, сумма"
22	акция, акционер, банк, бта, сделка, самрук, ккб, коллекторский, простой, ао"
23	солнечный, проект, виэ, магазин, интернет, мощность, энергетика, работа, электростанция, область"
24	тенге, доллар, курс, составлять, валюта, торги, валютный, сентябрь, объем, сессия"
